Our_Slug,SKU,Product_Name
fortune-cookies-feminized,RKDEL2730936,"Fortune Cookies Feminized"
four-star-general-feminized,RK8SP2737478-05-05,"Four Star General Feminized"
fpog-feminized,RKL2R2732306,"FPOG Feminized"
french-cookies-feminized,RK2IF2830672-05,"French Cookies Feminized"
french-toast-feminized,RK3HX2826481-05,"French Toast Feminized"
fresh-cookies-feminized,RKM2N2744226-05-19,"Fresh Cookies Feminized"
fresh-powder-feminized,RKIUF2828807-05,"Fresh Powder Feminized"
frosty-feminized,RKA652736656-05-19,"Frosty Feminized"
fruit-feminized,RKPXT2744383,"Fruit Feminized"
fruity-widow-feminized,RKSPF2737031-05-25,"Fruity Widow Feminized"
future-feminized,RK2C32833127-05,"Future Feminized"
g-o-a-t-mixpack-feminized,RKUOF2758230-03,"G.O.A.T Mixpack Feminized"
gatekeeper-og-feminized,RKKEN2737688-05-03,"Gatekeeper OG Feminized"
gator-breath-feminized,RKC2P2773403-05-13,"Gator Breath Feminized"
gelato-33-auto,RKW1X2770379,"Gelato 33 Auto"
gelato-44-feminized,RKW1X2770379-05-19,"Gelato 44 Feminized"
gelato-cake-feminized,RK3752773339-05-03,"Gelato Cake Feminized"
georgia-pie-feminized,RK5FF2738208-05-13,"Georgia Pie Feminized"
ghost-og-auto,RKA582731417,"Ghost OG Auto"
ginger-ale-feminized,RK3GI2737996-05-25,"Ginger Ale Feminized"
glass-apple-feminized,RK5DA2736946-05-03,"Glass Apple Feminized"
go-time-feminized,RKO5A2737466-05-03,"Go Time Feminized"
goat-milk-feminized,RKG7B2827260-05,"Goat Milk Feminized"
goat-mixpack,RKUOF2758230-03,"G.O.A.T Pack"
goatlato-feminized,RKM8D2770450,"Goatlato Feminized"
god-s-gift-feminized,RK4ZB2737615-05-07,"God's Gift Feminized"
godzilla-cookies-feminized,RKWI12758960-05-19,"Godzilla Cookies Feminized"
godzilla-glue-feminized,RK93Q2736764-05-01,"Godzilla Glue Feminized"
gold-leaf-feminized,RKK262744301-05-25,"Gold Leaf Feminized"
golden-gate-haze-feminized,RK5582744818-05-01,"Golden Gate Haze Feminized"
golden-nugget-feminized,RKI6S2737577-05-05,"Golden Nugget Feminized"
goon-berries-feminized,RKT2S2829457-09,"Goon Berries Feminized"
gorilla-biscuit-feminized,RKWET2736631-05-19,"Gorilla Biscuit Feminized"
gorilla-cookies-feminized,RK4HA2759027-05-03,"Gorilla Cookies Feminized"
gorilla-glue-4-auto,RKUD422151-10-14,"Gorilla Glue #4 Auto"
gorilla-nut-feminized,RK5YD2826617-05,"Gorilla Nut Feminized"
grandmas-sugar-cookies-feminized,RK9U62737169-05-05,"Grandmas Sugar Cookies Feminized"
grandmommy-purple-feminized,RK1AE2758890-05-07,"Grandmommy Purple Feminized"
grape-cookies-feminized,RK21A2734226,"Grape Cookies Feminized"
grape-gas-feminized,RKP742856265-05,"Grape Gas Feminized"
grape-gelato-feminized,RKJT72843001-05,"Grape Gelato Feminized"
grape-guava-feminized,RK9L62828450-05,"Grape Guava Feminized"
grape-inferno-feminized,RK4UY2734214,"Grape Inferno Feminized"
grape-krush-feminized,RKF882737643-05-19,"Grape Krush Feminized"
grape-skunk-feminized,RK4952733883,"Grape Skunk Feminized"
grape-soda-feminized,RKZMQ2737204-05-23,"Grape Soda Feminized"
gravity-feminized,RKOPY2734024,"Gravity Feminized"
green-avenger-feminized,RK13S2737368-05-07,"Green Avenger Feminized"
green-cheese-feminized,RKI4E2737151-05-03,"Green Cheese Feminized"
green-crack-punch-feminized,RKUO82774507-05-13,"Green Crack Punch Feminized"
green-door-kush-feminized,RKLQQ2737127-05-01,"Green Door Kush Feminized"
green-goblin-feminized,RKAHC2732785,"Green Goblin Feminized"
green-kush-feminized,RK8P52738038-05-01,"Green Kush Feminized"
green-line-og-feminized,RK3O42737133-05-01,"Green Line OG Feminized"
green-poison-feminized,RKJRV2732827,"Green Poison Feminized"
green-ribbon-feminized,RK6C82732857,"Green Ribbon Feminized"
grilled-cheese-feminized,RK34J2737493-05-03,"Grilled Cheese Feminized"
grimace-feminized,RKMT12737930-05-25,"Grimace Feminized"
gupta-kush-feminized,RK51V2737212-05-25,"Gupta Kush Feminized"
guptilla-feminized,RKM7A2737258-05,"Guptilla Feminized"
han-burger-feminized,RK9Z32838999-05,"Han Burger Feminized"
hashberry-feminized,RKW4O2730948,"Hashberry Feminized"
hawaiian-feminized,RK91E2731426,"Hawaiian Feminized"
hawaiian-purple-kush-feminized,RK7ZL2733851,"Hawaiian Purple Kush Feminized"
haze-xl-feminized,RK4IF22162,"Haze XL Feminized"
hektol-feminized,RKZYE2743995-05-03,"Hektol Feminized"
hercules-feminized,RKNA32737051-05-01,"Hercules Feminized"
high-resin-strains-mixpack,RKL1E2808121-03,"High Resin Pack"
high-resin-strains-mixpack-feminized,RKL1E2808121-03,"High Resin Strains Mixpack Feminized"
highwayman-feminized,RKPFL2737045-05-13,"Highwayman Feminized"
honey-banana-feminized,RK5N42825398-05,"Honey Banana Feminized"
hood-candy-feminized,RKIK72825830-05,"Hood Candy Feminized"
hyper-critical-feminized,RKW4X2743984,"Hyper Critical Feminized"
ice-cream-cake-auto,RK1EV2851721,"Ice Cream Cake Auto"
ice-feminized,RKOSN2827019-05,"Ice Feminized"
illuminati-feminized,RKJW42824948-05,"Illuminati Feminized"
incredible-bulk-feminized,RK59R2737834-05-19,"Incredible Bulk Feminized"
iron-triangle-feminized,RK4MY2737518-05-19,"Iron Triangle Feminized"
jane-doe-feminized,RKILH2736692-05-05,"Jane Doe Feminized"
jedi-cookies-feminized,RK2Y42744687-05-19,"Jedi Cookies Feminized"
jedi-kush-auto,RK9112731653,"Jedi Kush Auto"
jesus-juice-feminized,RKB5U2830763-05,"Jesus Juice Feminized"
jesus-og-auto,RK4L42729769,"Jesus OG Auto"
jgr-feminized,RKQO32737731-05-13,"JGR Feminized"
jungle-cookie-feminized,RKZ782824497-05,"Jungle Cookie Feminized"
jungle-juice-feminized,RK35Z2736674-05-19,"Jungle Juice Feminized"
jungle-lava-feminized,RKKN62829798-05,"Jungle Lava Feminized"
kc-33-feminized,RK73Q2736619-05-05,"KC 33 Feminized"
kid-n-kookies-feminized,RKR962738116-05-19,"Kid N’ Kookies Feminized"
kiss-feminized,RKV662737073-05-19,"Kiss Feminized"
kuchi-feminized,RKPRX2737472-05-05,"Kuchi Feminized"
kush-cake-feminized,RKJJR2824297-05,"Kush Cake Feminized"
kush-xl-feminized,RK64822182,"Kush XL Feminized"
l-a-sunshine-feminized,RK9MK2737103-05-07,"L.A. Sunshine Feminized"
la-jack-feminized,RK4RT2737290-05-01,"LA Jack Feminized"
la-og-feminized,RKO3F2737923-05-25,"LA OG Feminized"
la-ultra-feminized,RKPM82734099,"LA Ultra Feminized"
ladyburn-1974-feminized,RKVW42736613-05-03,"Ladyburn 1974 Feminized"
lambo-feminized,RKE582824327-05,"Lambo Feminized"
lamborghini-feminized,RKAO42737682-05-01,"Lamborghini Feminized"
lavender-jones-feminized,RKF892730238,"Lavender Jones Feminized"
le-silver-royale-feminized,RKG162736777-05-07,"Le Silver Royale Feminized"
lee-roy-feminized,RKBTK2734435,"Lee Roy Feminized"
lemon-crush-feminized,RKFNG2744511-05-07,"Lemon Crush Feminized"
lemon-daddy-feminized,RKF572736907-05-03,"Lemon Daddy Feminized"
lemon-drizzle-feminized,RKHUV2744178,"Lemon Drizzle Feminized"
lemon-drop-feminized,RK22U2730017,"Lemon Drop Feminized"
lemon-feminized,RK5312729733,"Lemon Feminized"
lemon-fire-feminized,RK1ZS2737338-05-05,"Lemon Fire Feminized"
lemon-garlic-og-feminized,RKC522744307-05-25,"Lemon Garlic OG Feminized"
lemon-skunk-auto,RK38A2731891,"Lemon Skunk Auto"
lemon-tree-feminized,RKTML2744581-05-25,"Lemon Tree Feminized"
lethal-purple-feminized,RKPUR2737441-05-13,"Lethal Purple Feminized"
london-pound-cake-feminized,RK6VG2830424-05,"London Pound Cake Feminized"
longbottom-leaf-feminized,RK6HO2737505-05-01,"Longbottom Leaf Feminized"
lowryder-feminized,RKAVA2729763,"Lowryder Feminized"
lsd-feminized,RKZ1K23658,"LSD Feminized"
lucid-blue-feminized,RKXK32827790-05,"Lucid Blue Feminized"
lucid-dream-kush-feminized,RK1V52730971,"Lucid Dream Kush Feminized"
lucky-dog-feminized,RK1WZ2825407-05,"Lucky Dog Feminized"
mac-1-auto,RKFCC2744812,"Mac 1 Auto"
mafia-funeral-feminized,RK9Z82824785-05,"Mafia Funeral Feminized"
magnum-feminized,RKYO32729745,"Magnum Feminized"
majestic-12-feminized,RKLM22737564-05-13,"Majestic 12 Feminized"
malawi-gold-feminized,RKENT2829123-05,"Malawi Gold Feminized"
mandala-1-feminized,RK8TD2737196-05-07,"Mandala #1 Feminized"
mandarin-feminized,RKT422729751,"Mandarin Feminized"
mandarine-feminized,RKTGE2744491,"Mandarine Feminized"
mango-crack-feminized,RKLZM2743991-05-01,"Mango Crack Feminized"
marcosus-marshmellow-feminized,RK1KM2737157-05-25,"Marcosus Marshmellow Feminized"
master-bubba-auto,RK79P2731678,"Master Bubba Auto"
master-jedi-auto,RK4112731778,"Master Jedi Auto"
matanuska-tundra-feminized,RK9182744675-05-19,"Matanuska Tundra Feminized"
maui-haole-feminized,RK4JV2736601-05-03,"Maui Haole Feminized"
mazar-i-sharif-feminized,RK73Q2732076,"Mazar I Sharif Feminized"
mazar-x-blueberry-feminized,RK3S52732186,"Mazar x Blueberry Feminized"
mean-misty-feminized,RK3G92737536-05-07,"Mean Misty Feminized"
meat-breath-feminized,RKYU42833466-05,"Meat Breath Feminized"
medgom-cbd-feminized,RK5J12730730,"MedGom CBD Feminized"
