Our_Slug,SKU,Product_Name
reserve-l-a-k-federal-feminized,RKJ3G2736461-05-07,"Reserve L.A.K. Federal Feminized"
rob-ford-kush-feminized,RKKHY2736873-05-07,"Rob Ford Kush Feminized"
rocklock-feminized,RKG4G2738026-05-07,"Rocklock Feminized"
rockstar-kush-feminized,RKOJ12737828-05-07,"Rockstar Kush Feminized"
romulan-haze-feminized,RK6632737389-05-13,"Romulan Haze Feminized"
royal-cheese-feminized,RKVNQ2774478-05-05,"Royal Cheese Feminized"
royal-gorilla-feminized,RKA622766824-05-01,"Royal Gorilla Feminized"
rs11-feminized,RKEZ82827954-05,"RS11 Feminized"
runtz-feminized,RK2D22744800-05-07,"Runtz Feminized"
runtz-muffin-feminized,RKNB62758925-05-13,"Runtz Muffin Feminized"
sangria-feminized,RKDAJ2824771-05,"Sangria Feminized"
sasquatch-feminized,RKV2P2829010-05,"Sasquatch Feminized"
serious-happiness-feminized,RK24H2737079-05-25,"Serious Happiness Feminized"
sfv-og-feminized,RKUR621893-01-05,"SFV OG Feminized"
shoreline-feminized,RK22Y2732204,"Shoreline Feminized"
sierra-mist-feminized,RKCOW2736492-05-19,"Sierra Mist Feminized"
silverback-gorilla-feminized,RK9CW2732418,"Silverback Gorilla Feminized"
silverfalls-kush-feminized,RKQS92737695-05-05,"Silverfalls Kush Feminized"
sister-glue-feminized,RK8532732537,"Sister Glue Feminized"
skunk-diesel-feminized,RKXXC2744836-05-05,"Skunk Diesel Feminized"
skunk-feminized,RK5RC22226,"Skunk Feminized"
skunky-afro-feminized,RK6592744213-05-19,"Skunky Afro Feminized"
skunky-jack-feminized,RKWK22744602-05-01,"Skunky Jack Feminized"
skywalker-alien-feminized,RKS3Z2736586-05-01,"Skywalker Alien Feminized"
smelliot-feminized,RKUU62737655-05-03,"Smelliot Feminized"
snow-diesel-feminized,RK7F92736894-05-03,"Snow Diesel Feminized"
snow-leopard-feminized,RKVXV2733661,"Snow Leopard Feminized"
soul-shine-feminized,RK1142736828-05-03,"Soul Shine Feminized"
sour-alien-feminized,RK5762732809,"Sour Alien Feminized"
sour-apple-feminized,RKR2R2732839,"Sour Apple Feminized"
sour-cheese-feminized,RKN332732875,"Sour Cheese Feminized"
sour-cookies-feminized,RKL262744344-05-25,"Sour Cookies Feminized"
space-dawg-feminized,RK23N2733697,"Space Dawg Feminized"
special-queen-feminized,RK3272835892-05,"Special Queen Feminized"
starbud-feminized,RKA882737948-05-05,"StarBud Feminized"
steves-dream-queen-feminized,RK96X2744794-05-03,"Steve's Dream Queen Feminized"
sticky-dickie-feminized,RKQ5F2744588,"Sticky Dickie Feminized"
stinking-rich-feminized,RKXRK2744644-05-07,"Stinking Rich Feminized"
strawberry-cheese-feminized,RKS182744376,"Strawberry Cheese Feminized"
strawberry-fields-feminized,RKF162737737-05-13,"Strawberry Fields Feminized"
strawberry-gary-feminized,RKYNK2829265-05,"Strawberry Gary Feminized"
strawberry-gorilla-feminized,RKDG92759057-05-03,"Strawberry Gorilla Feminized"
strawberry-milkshake-feminized,RKK552736987-05-19,"Strawberry Milkshake Feminized"
sugar-black-rose-feminized,RKDZP2733368,"Sugar Black Rose Feminized"
sugar-kush-feminized,RKZ572737942-05-13,"Sugar Kush Feminized"
sunrise-feminized,RKTL22826734-05,"Sunrise Feminized"
super-jack-feminized,RKN9K2733405,"Super Jack Feminized"
super-skunk-auto,RKZ6S2733418,"Super Skunk Auto"
superglue-feminized,RK76H2733437,"Superglue Feminized"
sweet-berry-feminized,RK76N2736796-05-07,"Sweet Berry Feminized"
sweet-diesel-feminized,RKGC52733459,"Sweet Diesel Feminized"
sweet-dream-feminized,RKF4Q2737025-05-05,"Sweet Dream Feminized"
sweet-island-feminized,RKAKF2744712-05-01,"Sweet Island Feminized"
sweet-nina-feminized,RK7892737362-05-03,"Sweet Nina Feminized"
sweet-pebbles-feminized,RKKW52736854-05-03,"Sweet Pebbles Feminized"
sweet-zz-feminized,RK4GV2816136-05-23,"Sweet ZZ Feminized"
swiss-feminized,RKKM72738097-05-23,"Swiss Feminized"
tahoe-hydro-og-feminized,RK7242736816-05-13,"Tahoe Hydro OG Feminized"
tangerine-kush-auto,RKR8F2731129,"Tangerine Kush Auto"
tangie-dream-book-feminized,RKP1J2737163-05-03,"Tangie Dream Book Feminized"
tembo-kush-feminized,RKHDS2737189-05,"Tembo Kush Feminized"
the-big-stink-feminized,RKX292744079,"The Big Stink Feminized"
tiger-s-milk-feminized,RKP5T2737852-05-03,"Tiger’s Milk Feminized"
trash-feminized,RK91S2736822-05-07,"Trash Feminized"
treasure-island-feminized,RKQVW2738013-05-01,"Treasure Island Feminized"
tropicana-cookies-purple-feminized,RKUHO2744788-05-13,"Tropicana Cookies Purple Feminized"
true-og-feminized,RKSRS2737725-05-23,"True OG Feminized"
tuna-kush-feminized,RK83B2733595,"Tuna Kush Feminized"
turbo-mind-warp-feminized,RKC5V2736625-05-01,"Turbo Mind Warp Feminized"
tutti-frutti-feminized,RKRRH2732773,"Tutti Frutti Feminized"
u2-kush-feminized,RKMPZ2733796,"U2 Kush Feminized"
uk-cheese-auto,RKZ212729690,"UK Cheese Auto"
valley-ghash-feminized,RKGLQ2738172-05-13,"Valley Ghash Feminized"
venus-og-feminized,RKY762737019-05-01,"Venus OG Feminized"
watermelon-bubblegum-feminized,RKW962824964-05,"Watermelon Bubblegum Feminized"
wedding-pie-feminized,RK3932829637-05,"Wedding Pie Feminized"
white-buffalo-auto,RKBNZ2731621,"White Buffalo Auto"
white-fire-43-feminized,RK2M926766,"White Fire 43 Feminized"
white-gold-auto,RK1662731743,"White Gold Auto"
white-kush-feminized,RK8N22738178-05-05,"White Kush Feminized"
white-og-feminized,RKD222737901-05-05,"White OG Feminized"
white-rhino-feminized,RK67U2732026,"White Rhino Feminized"
white-truffle-feminized,RKPRP2824312-05,"White Truffle Feminized"
whiteout-feminized,RK2KB2737310-05-25,"Whiteout Feminized"
wild-hog-feminized,RK4K72744608,"Wild Hog Feminized"
wildberry-feminized,RK1942827170-05,"Wildberry Feminized"
wilson-feminized,RK7712839655-05,"Wilson Feminized"
wonder-woman-feminized,RKA3K2731324,"Wonder Woman Feminized"
woody-kush-feminized,RKXM92737936-05-19,"Woody Kush Feminized"
wtf-feminized,RK2BJ2737085-05-23,"WTF Feminized"
x-files-feminized,RKI1V2736861-05-19,"X-Files Feminized"
yoda-og-feminized,RK8GR2737623-05-13,"Yoda OG Feminized"
zashimi-feminized,RKUSS2853810-05,"Zashimi Feminized"
zebra-cake-feminized,RKGD52824538-05,"Zebra Cake Feminized"
zombie-og-feminized,RKD462737895-05-23,"Zombie OG Feminized"
